Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
NU,"Nu Holdings Ltd Cl A",9.33,0.33,+3.67%,17434,46.68%,42.67%,51%,67.14%,2024-01-25
HIVE,"Hive Digital Technologies Ltd",3.1,0.1,+3.33%,4308,122.40%,42.53%,84%,178.36%,2024-01-25
VNET,"Vnet Group Inc",1.84,-0.055,-2.90%,3936,91.32%,42.52%,49%,154.50%,2024-01-25
DELL,"Dell Technologies Inc",83.04,-0.67,-0.80%,16454,32.69%,42.36%,54%,45.09%,2024-01-25
FSLY,"Fastly Inc",20.68,0.15,+0.73%,4986,77.70%,42.29%,69%,111.76%,2024-01-25
XPEV,"Xpeng Inc ADR",9.05,-0.15,-1.63%,27707,77.77%,42.23%,69%,100.17%,2024-01-25
HPQ,"HP Inc",29.71,0.15,+0.51%,13296,27.08%,42.22%,45%,39.24%,2024-01-25
AMZN,"Amazon.com Inc",157.75,0.88,+0.56%,581304,36.28%,42.07%,56%,54.18%,2024-01-25
BTU,"Peabody Energy Corp",26.74,-0.01,-0.04%,16037,39.56%,41.98%,33%,78.87%,2024-01-25
NEE,"Nextera Energy",57.98,0.97,+1.70%,26764,28.16%,41.98%,74%,42.59%,2024-01-25
CELH,"Celsius Holdings Inc",53.3,0.43,+0.81%,20766,56.68%,41.95%,59%,83.67%,2024-01-25
GIS,"General Mills",64.47,0.83,+1.30%,4139,19.84%,41.40%,50%,28.11%,2024-01-25
UUUU,"Energy Fuels Inc",7.34,-0.14,-1.87%,4010,53.76%,40.85%,47%,68.30%,2024-01-25
EDR,"Endeavor Group Holdings Inc Cl A",25.25,0.52,+2.10%,24197,37.26%,40.65%,52%,54.78%,2024-01-25
TELL,"Tellurian Inc",0.5202,0.0094,+1.84%,3153,170.65%,40.20%,82%,401.63%,2024-01-25
BP,"BP Plc ADR",35.15,0.59,+1.71%,30659,27.14%,40.18%,65%,39.61%,2024-01-25
FSLR,"First Solar Inc",149.23,0.36,+0.24%,10578,49.05%,39.87%,67%,66.36%,2024-01-25
CZR,"Caesars Entertainment Inc",44.9,0.81,+1.84%,7139,46.47%,39.81%,47%,62.35%,2024-01-25
GM,"General Motors Company",35.16,0.46,+1.33%,59943,34.16%,39.40%,51%,45.89%,2024-01-25
KGC,"Kinross Gold Corp",5.56,0.14,+2.58%,3256,39.88%,39.37%,54%,54.33%,2024-01-25
TWLO,Twilio,72.5,-0.3,-0.41%,10094,58.25%,39.32%,59%,96.74%,2024-01-25
DOCU,"Docusign Inc",62.47,0,0.00%,13087,51.44%,39.28%,51%,82.81%,2024-01-25
SE,"Sea Ltd ADR",39.4,0.14,+0.36%,16664,56.73%,39.16%,59%,93.69%,2024-01-25
CROX,"Crocs Inc",100.66,0.46,+0.46%,3537,51.55%,39.16%,61%,76.22%,2024-01-25
KVUE,"Kenvue Inc",20.75,0.32,+1.57%,24894,27.49%,39.14%,40%,68.18%,2024-01-25
NSC,"Norfolk Southern Corp",237.85,0.78,+0.33%,3618,23.83%,38.77%,46%,35.52%,2024-01-25
NVDA,"Nvidia Corp",616.17,2.55,+0.42%,1455775,46.05%,38.73%,53%,68.21%,2024-01-25
AAPL,"Apple Inc",194.17,-0.33,-0.17%,778563,22.52%,38.30%,45%,33.97%,2024-01-25
NOC,"Northrop Grumman Corp",434.55,-29.37,-6.33%,12832,19.48%,38.26%,31%,31.20%,2024-01-25
OM,"Outset Medical Inc",3.46,0.14,+4.22%,10020,173.78%,38.22%,96%,386.29%,2024-01-25
INSM,"Insmed Inc",27.73,0.33,+1.20%,4156,48.37%,38.22%,42%,86.57%,2024-01-25
NVAX,"Novavax Inc",4.1,0.05,+1.23%,8369,83.04%,38.04%,4%,193.68%,2024-01-25
UNP,"Union Pacific Corp",241.57,-0.76,-0.31%,11112,18.27%,37.94%,15%,30.88%,2024-01-25
ZIM,"Zim Integrated Shipping Services Ltd",13.8,-0.26,-1.85%,19698,83.00%,37.78%,79%,168.52%,2024-01-25
MKC,"Mccormick & Company",68.6,2.82,+4.29%,4088,22.72%,37.73%,50%,32.52%,2024-01-25
NFLX,"Netflix Inc",562,17.13,+3.14%,329258,27.95%,37.60%,13%,56.59%,2024-01-25
AR,"Antero Resources Corp",22.8,0.26,+1.15%,5505,46.22%,37.51%,41%,64.22%,2024-01-25
PAGP,"Plains Gp Holdings LP",16.77,0.26,+1.57%,3381,19.36%,37.30%,38%,31.53%,2024-01-25
ETRN,"Equitrans Midstream Corp",10.5,-0.03,-0.28%,11816,40.11%,37.12%,55%,63.66%,2024-01-25
LOW,"Lowe's Companies",212.08,1.53,+0.73%,9586,23.25%,37.02%,42%,36.10%,2024-01-25
TAL,"Tal Education Group ADR",11.94,0.64,+5.66%,8540,65.97%,36.87%,42%,96.84%,2024-01-25
SHEL,"Royal Dutch Shell Plc ADR",62.49,1.03,+1.68%,8740,21.94%,36.74%,41%,36.94%,2024-01-25
WBA,"Walgreens Boots Alliance",23.11,0.74,+3.31%,35536,35.94%,36.65%,65%,57.72%,2024-01-25
NEP,"Nextera Energy Partners LP",29.2,2.38,+8.87%,5798,46.04%,36.55%,74%,85.12%,2024-01-25
KSS,"Kohl's Corp",27.5,0.77,+2.88%,8312,54.09%,36.48%,43%,80.83%,2024-01-25
MFC,"Manulife Financial Corp",21.92,0.3,+1.39%,3896,21.20%,36.40%,50%,31.68%,2024-01-25
BBY,"Best Buy Company",75.21,1.88,+2.56%,8464,30.06%,36.26%,51%,46.16%,2024-01-25
DD,"Dupont Denemours Inc",64.11,-0.09,-0.14%,9491,24.92%,36.22%,54%,42.10%,2024-01-25
SKIN,"The Beauty Health Co.",3,0.19,+6.76%,5035,104.99%,36.06%,89%,198.51%,2024-01-25
COF,"Capital One Financial Corp",132.55,1.46,+1.11%,33289,34.61%,35.57%,62%,53.20%,2024-01-25
CVX,"Chevron Corp",148.57,3.65,+2.52%,65864,23.75%,35.06%,50%,35.64%,2024-01-25
KO,"Coca-Cola Company",59.16,0.25,+0.42%,24808,15.93%,34.93%,72%,24.76%,2024-01-25
AA,"Alcoa Corp",29.88,0.12,+0.40%,11478,50.29%,34.31%,51%,65.82%,2024-01-25
LMT,"Lockheed Martin Corp",431.04,-0.61,-0.14%,14295,15.67%,34.21%,20%,27.45%,2024-01-25
FAST,"Fastenal Company",69.21,0.37,+0.54%,7169,16.02%,33.87%,4%,33.03%,2024-01-25
MRVL,"Marvell Technology Inc",70,-2.28,-3.15%,50459,38.83%,33.66%,22%,62.73%,2024-01-25
DASH,"Doordash Inc Cl A",107.52,0.4,+0.37%,10083,48.87%,33.64%,53%,81.03%,2024-01-25
CLF,"Cleveland-Cliffs Inc",18.41,0.14,+0.77%,28506,43.36%,33.61%,36%,61.98%,2024-01-25
SNOW,"Snowflake Inc Cl A",206.01,2.2,+1.08%,98330,46.94%,33.17%,31%,74.32%,2024-01-25
BMRN,"Biomarin Pharmaceuticals",91.25,-1.06,-1.15%,4954,31.84%,33.12%,56%,50.90%,2024-01-25
HRL,"Hormel Foods Corp",30.42,0.02,+0.07%,4588,25.66%,32.89%,77%,48.31%,2024-01-25
AAL,"American Airlines Gp",15.36,1.43,+10.27%,413731,37.61%,32.80%,37%,53.85%,2024-01-25
LI,"Li Auto Inc ADR",27.74,-0.22,-0.79%,11473,55.40%,32.75%,62%,74.52%,2024-01-25
SU,"Suncor Energy Inc",32.31,0.48,+1.51%,5025,29.60%,32.68%,40%,45.82%,2024-01-25
RIG,"Transocean Inc",5.79,0.05,+0.87%,21155,55.84%,32.43%,44%,79.48%,2024-01-25
WDAY,"Workday Inc",292.36,-3.14,-1.06%,3135,30.67%,32.03%,40%,47.87%,2024-01-25
LNG,"Cheniere Energy",164.24,-1.09,-0.66%,8109,24.81%,31.46%,31%,40.20%,2024-01-25
CPNG,"Coupang Inc Cl A",14.52,-0.13,-0.89%,21287,42.81%,31.46%,48%,72.69%,2024-01-25
AUPH,"Aurinia Pharm Ord",8.04,0.16,+2.03%,5495,80.47%,30.70%,24%,142.43%,2024-01-25
EOSE,"Eos Energy Enterprises Inc",1.08,0.0888,+8.96%,3619,173.42%,30.67%,63%,468.74%,2024-01-25
CHWY,"Chewy Inc",19.87,0.42,+2.16%,47140,56.30%,30.67%,35%,93.56%,2024-01-25
NKLA,"Nikola Corp",0.7006,0.0078,+1.13%,14440,144.59%,30.64%,41%,270.46%,2024-01-25
KDP,"Keurig Dr Pepper Inc",31.59,0.45,+1.45%,10837,18.69%,30.62%,69%,30.53%,2024-01-25
TECK,"Teck Resources Ltd",40.44,0.48,+1.20%,4525,35.37%,30.56%,27%,55.16%,2024-01-25
OXY,"Occidental Petroleum Corp",58.01,0.7,+1.22%,89502,27.21%,30.54%,35%,47.36%,2024-01-25
U,"Unity Software Inc",32.88,-0.15,-0.45%,17155,62.10%,30.28%,42%,107.88%,2024-01-25
ASML,"Asml Holdings NY Reg ADR",869.08,21.77,+2.57%,37378,29.24%,29.97%,27%,42.93%,2024-01-25
OKTA,"Okta Inc Cl A",84.51,-0.55,-0.65%,3686,45.85%,29.96%,49%,78.24%,2024-01-25
IFF,"International Flavors & Fragrances",82.37,3.33,+4.21%,15372,30.89%,29.81%,56%,50.40%,2024-01-25
VERA,"Vera Therapeutics Inc Cl A",25.31,8.29,+48.71%,6570,105.67%,29.76%,35%,237.97%,2024-01-25
ANF,"Abercrombie & Fitch Company",102.46,0.27,+0.26%,3867,47.03%,29.73%,45%,77.44%,2024-01-25
DOCN,"Digitalocean Holdings Inc",33.14,0.49,+1.50%,7853,59.03%,29.58%,51%,90.53%,2024-01-25
LAZR,"Luminar Technologies Inc",2.65,-0.21,-7.34%,6781,116.00%,29.54%,94%,245.13%,2024-01-25
OPEN,"Opendoor Technologies Inc",3.38,0.16,+4.97%,8234,108.27%,29.53%,40%,174.34%,2024-01-25
IQ,"Iqiyi Inc ADR",3.58,-0.09,-2.45%,4550,106.04%,29.16%,95%,255.16%,2024-01-25
JNJ,"Johnson & Johnson",159.56,0.6,+0.38%,15288,15.36%,29.12%,27%,22.17%,2024-01-25
CPRI,"Capri Holdings Ltd",48.52,-0.47,-0.96%,14884,25.08%,28.59%,44%,65.98%,2024-01-25
TEVA,"Teva Pharmaceutical Industries ADR",11.83,-0.14,-1.17%,6637,43.82%,28.10%,67%,85.27%,2024-01-25
HPE,"Hewlett Packard Enterprise Comp",15.92,0.16,+1.02%,2910,29.81%,27.97%,64%,49.24%,2024-01-25
BB,"Blackberry Ltd",2.98,0.05,+1.71%,44943,59.73%,27.94%,55%,102.82%,2024-01-25
STM,"Stmicroelectronics N.V. ADR",45.6,-0.36,-0.78%,3915,32.77%,27.91%,31%,44.91%,2024-01-25
HES,"Hess Corp",144.03,3.76,+2.68%,3600,29.56%,27.83%,24%,50.07%,2024-01-25
MSTR,"Microstrategy Cl A",457.78,6.79,+1.51%,25042,65.43%,27.57%,25%,105.26%,2024-01-25
ZS,"Zscaler Inc",238.3,-3.08,-1.28%,10709,44.02%,27.23%,29%,73.93%,2024-01-25
LQDA,"Liquidia Corp",11.97,-0.09,-0.75%,15719,75.64%,27.10%,47%,151.36%,2024-01-25
FGEN,"Fibrogen Inc CS",1.1,0.1297,+13.37%,4353,311.90%,26.98%,88%,"1,142.70%",2024-01-25
CRC,"California Resources Corp",51.53,0.44,+0.86%,3473,34.51%,26.92%,47%,60.95%,2024-01-25
COHR,"Coherent Corp",47.73,-0.27,-0.56%,3903,55.45%,26.90%,69%,96.06%,2024-01-25
ONON,"On Holding Ag Cl A",26.63,0.58,+2.23%,12274,42.97%,26.70%,6%,72.38%,2024-01-25
EDU,"New Oriental Education & Technology Group ADR",81.05,4.89,+6.42%,3999,48.23%,26.66%,26%,76.93%,2024-01-25
NOW,"Servicenow Inc",766.69,3.27,+0.43%,41783,25.90%,26.55%,10%,46.56%,2024-01-25
ET,"Energy Transfer LP",14.28,0.21,+1.49%,80214,18.99%,26.15%,41%,34.91%,2024-01-25
XRX,"Xerox Corp",18.15,1.71,+10.40%,12503,37.57%,26.13%,50%,64.34%,2024-01-25
XP,"XP Inc Cl A",25.36,-0.11,-0.43%,11302,50.61%,25.89%,41%,77.52%,2024-01-25
RKLB,"Rocket Lab USA Inc",4.92,-0.11,-2.19%,5600,60.98%,25.85%,24%,90.03%,2024-01-25
LEN,"Lennar Corp",149.12,4,+2.76%,4183,26.92%,25.80%,18%,41.56%,2024-01-25
TSLA,"Tesla Inc",182.63,-25.2,-12.13%,4680015,44.82%,25.73%,10%,74.43%,2024-01-25
COIN,"Coinbase Global Inc Cl A",121.01,-0.33,-0.27%,139792,78.10%,25.63%,27%,131.46%,2024-01-25
XOM,"Exxon Mobil Corp",102.13,2.53,+2.54%,135937,24.21%,25.57%,36%,37.65%,2024-01-25
SLB,"Schlumberger N.V.",52.47,0.8,+1.55%,32585,27.26%,25.33%,2%,48.81%,2024-01-25
RIO,"Rio Tinto Plc ADR",70.1,0.55,+0.79%,3832,27.08%,25.09%,37%,39.07%,2024-01-25
DLTR,"Dollar Tree Inc",132.23,2.07,+1.59%,4593,28.16%,24.91%,49%,49.55%,2024-01-25
ELV,"Elevance Health Inc",480.31,6.64,+1.40%,6754,20.06%,24.86%,7%,32.79%,2024-01-25
APA,"Apa Corp",32.04,0.67,+2.14%,9919,37.78%,24.82%,35%,59.44%,2024-01-25
PXD,"Pioneer Natural Resources Company",228.27,5.31,+2.38%,2837,21.52%,24.64%,5%,42.12%,2024-01-25
AMSC,"Amer Superconductor",13.25,3.5,+35.90%,18610,91.99%,24.57%,92%,245.27%,2024-01-25
CF,"Cf Industries Holdings",76.95,0.18,+0.23%,5680,31.66%,24.50%,26%,44.23%,2024-01-25
SPCE,"Virgin Galactic Holdings Inc",1.95,-0.06,-2.99%,7346,99.54%,24.41%,44%,175.79%,2024-01-25
MRK,"Merck & Company",120.13,1.25,+1.05%,10603,19.50%,23.53%,31%,26.55%,2024-01-25
EPD,"Enterprise Products Partners LP",27.31,0.19,+0.70%,7114,13.51%,23.49%,31%,25.18%,2024-01-25
ARCC,"Ares Capital Corp",20.49,0.16,+0.79%,3329,16.88%,23.23%,29%,36.40%,2024-01-25
USB,"U.S. Bancorp",42.81,0.33,+0.78%,11737,28.34%,22.98%,19%,87.48%,2024-01-25
COP,Conocophillips,112.05,2.38,+2.17%,21258,27.20%,22.86%,38%,45.35%,2024-01-25
SBLK,"Star Bulk Carriers",21.43,-0.19,-0.88%,3335,33.14%,22.69%,31%,65.88%,2024-01-25
SLG,"SL Green Realty Corp",46.97,1.36,+2.98%,2962,56.15%,22.60%,28%,124.76%,2024-01-25
DAL,"Delta Air Lines Inc",40.18,1.99,+5.21%,83227,30.76%,22.55%,30%,48.63%,2024-01-25
VIRT,"Virtu Financial Cm A",17.46,-1.74,-9.06%,4859,26.49%,22.42%,19%,44.54%,2024-01-25
CIFR,"Cipher Mining Inc",2.36,0.07,+3.28%,12180,131.68%,22.21%,53%,262.22%,2024-01-25
DLR,"Digital Realty Trust",142.19,4.26,+3.09%,3040,27.84%,21.82%,24%,45.53%,2024-01-25
QS,"Quantumscape Corp",6.65,0,0.00%,15857,71.73%,21.74%,35%,132.51%,2024-01-25
AGNC,"Agnc Investment Corp",9.82,0.1,+1.03%,25069,24.40%,21.65%,20%,44.47%,2024-01-25
AVGO,"Broadcom Ltd",1230,-23.87,-1.90%,67486,30.24%,20.48%,49%,56.48%,2024-01-25
TJX,"TJX Companies",95.51,0.56,+0.59%,16626,17.51%,20.19%,37%,32.51%,2024-01-25
UAL,"United Airlines Holdings Inc",42.96,2.12,+5.19%,70035,34.71%,20.18%,21%,53.62%,2024-01-25
PSX,"Phillips 66",137.65,3.98,+2.98%,5894,26.70%,20.18%,30%,44.75%,2024-01-25
MMM,"3M Company",95.98,2.74,+2.94%,49619,22.70%,20.10%,18%,35.77%,2024-01-25
RC,"Ready Capital Corp",9.74,0.01,+0.10%,6991,31.69%,20.03%,31%,68.70%,2024-01-25
CMCSA,"Comcast Corp A",45.27,1.47,+3.36%,47357,20.71%,19.89%,28%,32.88%,2024-01-25
JWN,Nordstrom,19.48,0.56,+2.96%,5509,48.55%,19.62%,40%,90.31%,2024-01-25
GRPN,"Groupon Cl A",13.01,1.08,+9.05%,4834,81.99%,19.59%,18%,172.22%,2024-01-25
DHT,"Dht Holdings",10.8,-0.22,-2.00%,2880,44.26%,19.44%,70%,97.10%,2024-01-25
NOK,"Nokia Corp ADR",3.8,0.39,+11.44%,32451,31.64%,19.41%,52%,77.75%,2024-01-25
MBLY,"Mobileye Global Inc Cl A",27.95,0.33,+1.19%,7091,45.02%,19.27%,27%,76.67%,2024-01-25
CCI,"Crown Castle Inc",110.81,5.25,+4.97%,4139,24.80%,19.23%,8%,35.70%,2024-01-25
STX,"Seagate Technology Hldgs Plc",90.99,1.82,+2.04%,27061,28.96%,19.07%,11%,46.14%,2024-01-25
DOW,"Dow Inc",54.94,1.85,+3.48%,45317,21.69%,18.97%,21%,35.06%,2024-01-25
DVN,"Devon Energy Corp",42.49,0.87,+2.09%,48846,30.51%,18.81%,21%,51.52%,2024-01-25
BUD,"Anheuser-Busch Inbev S.A. ADR",62.14,-0.22,-0.35%,4735,19.49%,18.65%,26%,35.79%,2024-01-25
FUBO,"Fubotv Inc",2.68,-0.02,-0.74%,8686,89.32%,18.36%,21%,171.92%,2024-01-25
FUTU,"Futu Holdings Ltd ADR",49.02,-0.09,-0.18%,4961,50.15%,18.35%,33%,78.05%,2024-01-25
KBH,"KB Home",59.76,1.36,+2.33%,3306,31.27%,18.32%,22%,48.19%,2024-01-25
AIG,"American International Group",68.98,-0.18,-0.26%,2918,23.10%,18.25%,39%,52.89%,2024-01-25
LVS,"Las Vegas Sands",50.15,0.51,+1.03%,162598,29.58%,18.18%,14%,43.83%,2024-01-25
MDB,"Mongodb Inc Cl A",400.3,-9.81,-2.39%,14767,47.46%,17.88%,23%,91.40%,2024-01-25
HUT,"Hut 8 Corp",7.47,1.12,+17.64%,33102,113.74%,17.79%,35%,419.51%,2024-01-25
NYCB,"New York Community Bancorp",10.21,-0.1,-0.97%,4677,36.39%,17.76%,59%,106.28%,2024-01-25
MET,"Metlife Inc",70.39,0.71,+1.02%,6604,22.19%,17.60%,27%,52.17%,2024-01-25
CRM,"Salesforce Inc",279.03,2.15,+0.78%,26962,26.06%,17.51%,23%,53.09%,2024-01-25
COST,"Costco Wholesale",679.9,-6.61,-0.96%,43757,16.50%,17.22%,15%,28.27%,2024-01-25
SAVA,"Cassava Sciences Inc",24.58,-0.38,-1.52%,3348,76.80%,17.06%,27%,129.23%,2024-01-25
BITF,"Bitfarms Ltd",2.07,0.05,+2.48%,3833,142.93%,17.03%,77%,408.47%,2024-01-25
PR,"Permian Resources Corp",13.68,0.42,+3.17%,3181,37.87%,16.84%,17%,64.32%,2024-01-25
LW,"Lamb Weston Holdings Inc",105.04,-0.81,-0.77%,6651,20.89%,16.68%,26%,40.49%,2024-01-25
SIRI,"Sirius XM Holdings",5.37,-0.05,-0.92%,8694,58.42%,16.58%,43%,201.83%,2024-01-25
GRAB,"Grab Holdings Ltd Cl A",3.16,-0.01,-0.32%,6787,37.94%,16.41%,14%,93.37%,2024-01-25
APLD,"Applied Digital Corp",5.15,0.37,+7.74%,7447,104.22%,16.21%,10%,173.97%,2024-01-25
STNE,"Stoneco Ltd Cl A",17.9,0.53,+3.05%,4467,47.31%,16.09%,21%,92.33%,2024-01-25
ZM,"Zoom Video Communications Cl A",67.42,-1.62,-2.35%,17298,36.46%,15.80%,23%,76.69%,2024-01-25
ACB,"Aurora Cannabis Inc",0.405,0.019,+4.92%,3484,140.10%,15.66%,56%,868.08%,2024-01-25
S,"Sentinelone Inc Cl A",25.76,-0.1,-0.39%,3093,49.16%,15.57%,16%,87.76%,2024-01-25
AM,"Antero Midstream Corp",12.22,0.08,+0.66%,4825,21.40%,15.49%,30%,54.92%,2024-01-25
PRU,"Prudential Financial Inc",105.77,0.98,+0.94%,4365,22.70%,15.13%,29%,50.36%,2024-01-25
ADBE,"Adobe Systems Inc",622.58,16.1,+2.65%,107394,27.88%,15.06%,16%,47.80%,2024-01-25
SNDL,"Sndl Inc",1.43,0.02,+1.42%,6455,100.29%,15.06%,66%,397.95%,2024-01-25
CYTK,Cytokinetics,82.91,1.14,+1.39%,15441,83.39%,15.03%,69%,291.99%,2024-01-25
CRWD,"Crowdstrike Holdings Inc",293.46,-6.82,-2.27%,34252,35.71%,15.01%,18%,70.74%,2024-01-25
DBRG,"Digitalbridge Group Inc",20,0.32,+1.63%,2917,43.37%,14.88%,27%,77.68%,2024-01-25
ASTS,"Ast Spacemobile Inc",2.95,-0.13,-4.22%,5662,92.93%,14.80%,38%,250.88%,2024-01-25
GE,"General Electric Company",129.93,0,0.00%,19892,21.63%,14.46%,11%,37.29%,2024-01-25
GD,"General Dynamics Corp",265.86,4.68,+1.79%,3938,14.82%,14.41%,12%,26.11%,2024-01-25
CCL,"Carnival Corp",16.47,0.39,+2.43%,52944,47.07%,14.14%,12%,80.97%,2024-01-25
VZ,"Verizon Communications Inc",42.29,1.01,+2.45%,101514,17.64%,13.95%,10%,33.65%,2024-01-25
EH,"Ehang Holdings Ltd ADR",11.99,0.06,+0.50%,3928,73.55%,13.91%,9%,143.30%,2024-01-25
SYF,"Synchrony Financial",38.46,0.49,+1.29%,7465,32.12%,13.59%,37%,71.32%,2024-01-25
KR,"Kroger Company",46.43,0.33,+0.72%,3304,19.07%,13.42%,27%,32.75%,2024-01-25
DHI,"D.R. Horton",141.57,2.36,+1.70%,13789,25.88%,13.35%,8%,41.30%,2024-01-25
DKS,"Dick's Sporting Goods Inc",153.15,2.36,+1.57%,4630,29.42%,13.28%,30%,54.42%,2024-01-25
SHW,"Sherwin-Williams Company",303.91,2.85,+0.95%,3156,19.87%,13.12%,16%,34.45%,2024-01-25
CRON,"Cronos Group Inc",2.03,0.02,+1.00%,12153,53.51%,13.10%,33%,225.81%,2024-01-25
CAVA,"Cava Group Inc",45.89,-1.95,-4.08%,6155,55.36%,13.08%,17%,93.21%,2024-01-25
GPS,"Gap Inc",19.51,0.54,+2.85%,29767,44.30%,12.93%,22%,93.67%,2024-01-25
TGT,"Target Corp",142.18,2.98,+2.14%,17471,23.75%,12.83%,17%,48.15%,2024-01-25
TXT,"Textron Inc",86.16,0.61,+0.71%,13801,19.67%,12.77%,9%,32.64%,2024-01-25
T,"AT&T Inc",17.18,0.5,+3.00%,138077,19.09%,12.66%,9%,38.50%,2024-01-25
ORCL,"Oracle Corp",115,0.69,+0.60%,63349,22.09%,12.21%,22%,48.54%,2024-01-25
KMI,"Kinder Morgan",17.33,0.44,+2.61%,15346,16.15%,12.19%,9%,30.54%,2024-01-25
GTLB,"Gitlab Inc Cl A",70,1.52,+2.22%,5623,49.69%,12.14%,18%,107.12%,2024-01-25
MU,"Micron Technology",89.2,1.12,+1.27%,92108,30.79%,12.12%,7%,51.37%,2024-01-25
GS,"Goldman Sachs Group",382.7,3.3,+0.87%,26308,20.61%,12.10%,16%,42.93%,2024-01-25
DFS,"Discover Financial Services",103.74,2.52,+2.49%,5923,26.07%,11.98%,22%,49.76%,2024-01-25
RTX,"Rtx Corp",90.94,1.45,+1.62%,34846,17.93%,11.96%,16%,33.36%,2024-01-25
RIOT,"Riot Platforms Inc",10.63,0.56,+5.56%,68463,92.77%,11.90%,9%,145.39%,2024-01-25
CVNA,"Carvana Company Cl A",41,-1.03,-2.45%,87709,105.74%,11.74%,31%,268.88%,2024-01-25
X,"United States Steel Corp",48.38,0.01,+0.02%,44883,15.89%,11.25%,6%,61.89%,2024-01-25
GME,"Gamestop Corp",14.52,0.57,+4.09%,48472,63.97%,10.86%,31%,147.35%,2024-01-25
QURE,"Uniqure N.V.",5.76,0.11,+1.95%,5110,62.58%,10.77%,27%,230.02%,2024-01-25
MARA,"Marathon Digital Hldgs Inc",16.27,0.62,+3.96%,308327,101.67%,10.70%,21%,197.83%,2024-01-25
PAYO,"Payoneer Global Inc",4.78,-0.01,-0.21%,5432,53.93%,10.32%,35%,235.14%,2024-01-25
LXRX,"Lexicon Pharmaceutcl",1.78,0.05,+2.89%,13066,112.95%,10.24%,43%,943.12%,2024-01-25
WFC,"Wells Fargo & Company",49.88,0.39,+0.79%,34666,20.85%,10.02%,3%,51.01%,2024-01-25
PG,"Procter & Gamble Company",155.62,3.5,+2.30%,43599,12.82%,9.93%,4%,24.28%,2024-01-25
BURL,"Burlington Stores Inc",197.05,6.22,+3.26%,4275,33.60%,9.92%,18%,65.41%,2024-01-25
WES,"Western Midstream Partners LP",29.24,0.27,+0.93%,3074,20.79%,9.75%,12%,50.28%,2024-01-25
KMB,"Kimberly-Clark Corp",120.49,2.45,+2.08%,4525,14.10%,9.56%,7%,25.51%,2024-01-25
CSX,"CSX Corp",35,0.61,+1.77%,8392,17.82%,9.45%,5%,32.52%,2024-01-25
BKR,"Baker Hughes Company",30.3,0.26,+0.87%,15019,26.23%,9.18%,13%,46.07%,2024-01-25
TLRY,"Tilray Brands Inc",1.99,0.02,+1.02%,16467,88.08%,8.85%,35%,305.31%,2024-01-25
BRK.B,"Berkshire Hathaway Cl B",380.85,4.26,+1.13%,23394,12.72%,8.64%,16%,27.19%,2024-01-25
PDD,"Pdd Holdings Inc",144.43,-0.07,-0.05%,25481,33.94%,8.59%,10%,77.14%,2024-01-25
ULTA,"Ulta Beauty Inc",493.22,14.45,+3.02%,11615,22.31%,8.31%,12%,43.54%,2024-01-25
TFC,"Truist Financial Corp",37.51,-0.04,-0.11%,9861,29.74%,8.11%,19%,105.63%,2024-01-25
AMC,"AMC Entertainment Holdings",4.08,-0.05,-1.21%,77552,100.82%,8.03%,24%,310.38%,2024-01-25
VFS,"Vinfast Auto Ltd",6.12,0.21,+3.55%,9002,115.71%,7.96%,34%,370.18%,2024-01-25
HITI,"High Tide Inc",1.89,0.05,+2.72%,5671,113.56%,7.96%,12%,908.93%,2024-01-25
VLY,"Valley National Bancorp",10.32,-0.48,-4.44%,10881,38.60%,7.64%,20%,196.84%,2024-01-25
PATH,"Uipath Inc Cl A",22.83,0.2,+0.88%,9311,45.52%,7.44%,11%,83.45%,2024-01-25
FCX,"Freeport-Mcmoran Inc",39.44,-0.28,-0.70%,38269,30.67%,7.28%,3%,53.52%,2024-01-25
WULF,"Terawulf Inc",1.52,0.08,+5.56%,4141,146.38%,7.27%,37%,"1,194.73%",2024-01-25
NKE,"Nike Inc",100.77,0.01,+0.01%,56842,21.39%,6.80%,6%,46.99%,2024-01-25
BX,"Blackstone Inc",123.49,2.86,+2.37%,39020,27.72%,6.60%,9%,61.22%,2024-01-25
FDX,"Fedex Corp",253.13,3.4,+1.36%,32751,20.02%,6.45%,4%,41.40%,2024-01-25
MS,"Morgan Stanley",88.02,0.45,+0.51%,58194,20.45%,6.26%,8%,44.19%,2024-01-25
OKE,"Oneok Inc",70.29,1.43,+2.08%,4696,19.40%,6.06%,7%,36.97%,2024-01-25
KMX,"Carmax Inc",69.08,1.63,+2.42%,3570,33.02%,6.05%,20%,76.09%,2024-01-25
KEY,Keycorp,14.54,0.1,+0.69%,17966,34.23%,5.90%,14%,177.02%,2024-01-25
BAC,"Bank of America Corp",33.39,0.41,+1.24%,116079,22.26%,5.87%,13%,50.80%,2024-01-25
IMPP,"Imperial Petroleum Inc",3.41,-0.16,-4.48%,6908,93.50%,5.86%,29%,"1,320.47%",2024-01-25
ABT,"Abbott Laboratories",112.45,1.68,+1.52%,10499,16.33%,5.72%,1%,32.46%,2024-01-25
LULU,"Lululemon Athletica",474.3,-0.54,-0.11%,14458,23.60%,5.58%,9%,51.07%,2024-01-25
HBAN,"Huntington Bcshs",12.94,-0.14,-1.07%,3312,25.95%,5.44%,16%,97.51%,2024-01-25
