,Symbol,Industry
898,PG,Household/Personal Care
899,EOG,Oil & Gas Production
900,KLIC,Industrial Machinery
901,AKTS,Telecommunications Equipment
902,PZZA,Restaurants
903,WRLD,Finance/Rental/Leasing
904,COP,Oil & Gas Production
905,EQNR,Integrated Oil
906,AMOT,Electrical Products
907,JJSF,Food: Specialty/Candy
908,GMS,Wholesale Distributors
909,KO,Beverages: Non-Alcoholic
910,COF,Major Banks
911,PTC,Packaged Software
912,TXRH,Restaurants
913,MKC,Food: Specialty/Candy
914,RE,Property/Casualty Insurance
915,ORI,Specialty Insurance
916,NJR,Gas Distributors
917,VRTX,Pharmaceuticals: Major
918,CPHC,Movies/Entertainment
919,BSBK,Savings Banks
920,MCK,Medical Distributors
921,OTIS,Building Products
922,TREX,Forest Products
923,HTGC,Investment Managers
924,PRT,Investment Trusts/Mutual Funds
925,BRBR,Pharmaceuticals: Other
926,SHEN,Major Telecommunications
927,CHE,Hospital/Nursing Management
928,EVI,Wholesale Distributors
929,TSLX,Investment Managers
930,ERIE,Property/Casualty Insurance
931,AHCO,Finance/Rental/Leasing
932,GIS,Food: Major Diversified
933,SEE,Containers/Packaging
934,OMF,Finance/Rental/Leasing
935,IMKTA,Food Retail
936,SHYF,Trucks/Construction/Farm Machinery
937,CLH,Environmental Services
938,NX,Building Products
939,NYCB,Savings Banks
940,SIMO,Semiconductors
941,BCH,Major Banks
942,NVMI,Electronic Equipment/Instruments
943,AZN,Pharmaceuticals: Major
944,CINF,Multi-Line Insurance
945,MMSI,Medical Specialties
946,WLY,Publishing: Books/Magazines
947,BOKF,Major Banks
948,BHP,Steel
949,CLX,Household/Personal Care
950,RGR,Recreational Products
951,ASGN,Information Technology Services
952,REX,Chemicals: Specialty
953,HQY,Investment Managers
954,SO,Electric Utilities
955,BBSI,Personnel Services
956,INTC,Semiconductors
957,RSG,Environmental Services
958,UFPI,Forest Products
959,CVX,Integrated Oil
960,VNOM,Investment Trusts/Mutual Funds
961,DJCO,Publishing: Newspapers
962,CASH,Major Banks
963,MRBK,Regional Banks
964,FNLC,Major Banks
965,OXM,Apparel/Footwear
966,VRNA,Pharmaceuticals: Major
967,YORW,Water Utilities
968,J,Data Processing Services
969,CAPL,Wholesale Distributors
970,TMP,Regional Banks
971,PLOW,Trucks/Construction/Farm Machinery
972,TPB,Tobacco
973,SF,Investment Banks/Brokers
974,UGI,Wholesale Distributors
975,MPX,Recreational Products
976,SSTK,Internet Software/Services
977,VRSN,Internet Software/Services
978,PETS,Specialty Stores
979,ESCA,Recreational Products
980,MAR,Hotels/Resorts/Cruise lines
981,SLAB,Semiconductors
982,RTX,Aerospace & Defense
983,NI,Gas Distributors
984,LFUS,Electronic Production Equipment
985,HOMB,Regional Banks
986,ARTNA,Water Utilities
987,NRC,Services to the Health Industry
988,MODN,Information Technology Services
989,MED,Other Consumer Services
990,USB,Major Banks
991,WAB,Trucks/Construction/Farm Machinery
992,RIO,Other Metals/Minerals
993,NSC,Railroads
994,LAUR,Miscellaneous Commercial Services
995,FXNC,Regional Banks
996,CMI,Trucks/Construction/Farm Machinery
997,NWBI,Savings Banks
998,LKFN,Regional Banks
999,LPG,Marine Shipping
1000,SLGN,Containers/Packaging
1001,AUPH,Biotechnology
1002,HWKN,Wholesale Distributors
1003,ECPG,Finance/Rental/Leasing
1004,NOC,Aerospace & Defense
1005,CDNS,Packaged Software
1006,CBRE,Real Estate Development
1007,RES,Oilfield Services/Equipment
1008,NTRS,Financial Conglomerates
1009,DTE,Electric Utilities
1010,PFE,Pharmaceuticals: Major
1011,MMC,Insurance Brokers/Services
1012,ENTG,Industrial Machinery
1013,CASS,Miscellaneous Commercial Services
1014,FMX,Beverages: Non-Alcoholic
1015,DMLP,Investment Trusts/Mutual Funds
1016,ALLE,Building Products
1017,HBCP,Regional Banks
1018,HRL,Food: Meat/Fish/Dairy
1019,BAP,Major Banks
1020,VRNS,Packaged Software
1021,AGYS,Packaged Software
1022,DCP,Oil & Gas Pipelines
1023,TOL,Homebuilding
1024,JHX,Construction Materials
1025,MRTX,Biotechnology
1026,WERN,Trucking
1027,BALL,Containers/Packaging
1028,MMS,Miscellaneous Commercial Services
1029,JYNT,Medical/Nursing Services
1030,MOG.B,Aerospace & Defense
1031,STT,Investment Banks/Brokers
1032,XOM,Integrated Oil
1033,DIS,Movies/Entertainment
1034,CBSH,Regional Banks
1035,MORN,Investment Managers
1036,CMCSA,Cable/Satellite TV
1037,MTB,Regional Banks
1038,CTLT,Pharmaceuticals: Major
1039,CSWC,Investment Managers
1040,WEC,Electric Utilities
1041,HUT,Data Processing Services
1042,FBNC,Regional Banks
1043,AZPN,Packaged Software
1044,BWXT,Electric Utilities
1045,SRE,Electric Utilities
1046,SAH,Specialty Stores
1047,ELMD,Medical Specialties
1048,CNMD,Medical Specialties
1049,TRV,Multi-Line Insurance
1050,ICUI,Medical Specialties
1051,KMX,Specialty Stores
1052,WTM,Multi-Line Insurance
1053,OGS,Gas Distributors
1054,ZLAB,Biotechnology
1055,RPM,Industrial Specialties
1056,PPG,Industrial Specialties
1057,STM,Semiconductors
1058,AAP,Specialty Stores
1059,CCRD,Packaged Software
1060,TFX,Medical Specialties
1061,AVD,Chemicals: Agricultural
1062,GGB,Steel
1063,FSLR,Semiconductors
1064,SRCL,Environmental Services
1065,LFMD,Medical/Nursing Services
1066,CRH,Construction Materials
1067,GIII,Apparel/Footwear
1068,FGBI,Regional Banks
1069,CROX,Apparel/Footwear
1070,NATI,Packaged Software
1071,DNLI,Biotechnology
1072,ENV,Packaged Software
1073,BHC,Pharmaceuticals: Major
1074,MS,Investment Banks/Brokers
1075,TSRI,Personnel Services
1076,LNW,Casinos/Gaming
1077,VRRM,Other Transportation
1078,HPE,Computer Processing Hardware
1079,EPSN,Integrated Oil
1080,EBMT,Regional Banks
1081,CHWY,Internet Retail
1082,SEB,Agricultural Commodities/Milling
1083,BOH,Regional Banks
1084,PAG,Specialty Stores
1085,GPC,Wholesale Distributors
1086,CBU,Major Banks
1087,MC,Investment Banks/Brokers
1088,AXP,Finance/Rental/Leasing
1089,HFBL,Savings Banks
1090,SPXC,Building Products
1091,CRMT,Specialty Stores
1092,CBT,Chemicals: Specialty
1093,UNF,Other Consumer Services
1094,UFPT,Industrial Specialties
1095,EEFT,Data Processing Services
1096,H,Hotels/Resorts/Cruise lines
1097,ESTE,Integrated Oil
1098,MASI,Medical Specialties
1099,ATRI,Medical Specialties
1100,WINA,Apparel/Footwear Retail
1101,KMB,Household/Personal Care
1102,IR,Industrial Machinery
1103,DLB,Packaged Software
1104,AMX,Wireless Telecommunications
1105,RGCO,Gas Distributors
1106,PCGU,Electric Utilities
1107,SCL,Chemicals: Specialty
1108,ATRO,Aerospace & Defense
1109,TWNK,Food: Specialty/Candy
1110,ABM,Miscellaneous Commercial Services
1111,FRG,Miscellaneous Commercial Services
1112,AVY,Containers/Packaging
1113,TRI,Internet Software/Services
1114,PM,Tobacco
1115,WWE,Movies/Entertainment
1116,SNA,Tools & Hardware
1117,KWR,Chemicals: Specialty
1118,BNS,Major Banks
1119,ENS,Electrical Products
1120,UBSI,Regional Banks
1121,CWT,Water Utilities
1122,PTEN,Contract Drilling
1123,BWA,Trucks/Construction/Farm Machinery
1124,MTH,Homebuilding
1125,MGEE,Electric Utilities
1126,MOFG,Regional Banks
1127,PTCT,Pharmaceuticals: Major
1128,ASIX,Chemicals: Major Diversified
1129,CDNA,Medical Specialties
1130,NC,Coal
1131,EVR,Investment Banks/Brokers
1132,FIBK,Regional Banks
1133,AMED,Medical/Nursing Services
1134,SJW,Water Utilities
1135,ATGE,Other Consumer Services
1136,TFC,Regional Banks
1137,NRIM,Regional Banks
1138,RGA,Multi-Line Insurance
1139,HRB,Other Consumer Services
1140,CTRA,Integrated Oil
1141,UTHR,Pharmaceuticals: Major
1142,TEL,Semiconductors
1143,DOCU,Packaged Software
1144,BEAT,Medical Specialties
1145,HON,Aerospace & Defense
1146,MCRI,Hotels/Resorts/Cruise lines
1147,ETR,Electric Utilities
1148,LEG,Home Furnishings
1149,PHR,Packaged Software
1150,GATX,Railroads
1151,MRVL,Semiconductors
1152,QGEN,Medical Specialties
1153,KTB,Apparel/Footwear
1154,LPSN,Packaged Software
1155,CODI,Investment Managers
1156,INSE,Packaged Software
1157,GENC,Trucks/Construction/Farm Machinery
1158,PHM,Homebuilding
1159,WDFC,Industrial Specialties
1160,ATO,Gas Distributors
1161,AIMC,Electronic Equipment/Instruments
1162,IPGP,Semiconductors
1163,HI,Industrial Conglomerates
1164,SXI,Electronic Equipment/Instruments
1165,HTLD,Trucking
1166,EBAY,Internet Retail
1167,IBOC,Regional Banks
1168,BH.A,Restaurants
1169,OOMA,Major Telecommunications
1170,MDU,Gas Distributors
1171,CRI,Apparel/Footwear Retail
1172,SCM,Investment Managers
1173,USAC,Oilfield Services/Equipment
1174,ADM,Agricultural Commodities/Milling
1175,SEAS,Movies/Entertainment
1176,ALSN,Auto Parts: OEM
1177,ABCB,Regional Banks
1178,PEG,Electric Utilities
1179,STC,Specialty Insurance
1180,BRK.B,Property/Casualty Insurance
1181,HUBG,Air Freight/Couriers
1182,TMUS,Wireless Telecommunications
1183,EXC,Electric Utilities
1184,PWR,Engineering & Construction
1185,MTZ,Engineering & Construction
1186,LYTS,Building Products
1187,DHAC,Financial Conglomerates
1188,TU,Wireless Telecommunications
1189,UNVR,Wholesale Distributors
1190,RUN,Alternative Power Generation
1191,CCEP,Beverages: Non-Alcoholic
1192,ARIS,Water Utilities
1193,LYV,Movies/Entertainment
1194,HEES,Finance/Rental/Leasing
1195,QDEL,Medical Specialties
1196,BHE,Electronic Production Equipment
1197,PYPL,Miscellaneous Commercial Services
1198,PSX,Oil Refining/Marketing
1199,PGNY,Miscellaneous Commercial Services
1200,HBNC,Regional Banks
1201,DFIN,Packaged Software
1202,LWLG,Chemicals: Specialty
1203,BTCY,Packaged Software
1204,DIT,Wholesale Distributors
1205,CRT,Investment Trusts/Mutual Funds
1206,NKSH,Major Banks
1207,MNRO,Specialty Stores
1208,ET,Oil & Gas Pipelines
1209,FNF,Specialty Insurance
1210,SIRE,Other Metals/Minerals
1211,LNG,Oil & Gas Production
1212,TRP,Oil & Gas Pipelines
1213,SKYW,Airlines
1214,GPS,Apparel/Footwear Retail
1215,BRID,Food: Specialty/Candy
1216,WBA,Drugstore Chains
1217,DY,Engineering & Construction
1218,UL,Household/Personal Care
1219,KBH,Homebuilding
1220,IDCC,Telecommunications Equipment
1221,ALL,Property/Casualty Insurance
1222,IHG,Hotels/Resorts/Cruise lines
1223,TCBK,Regional Banks
1224,ALG,Trucks/Construction/Farm Machinery
1225,PRAA,Miscellaneous Commercial Services
1226,JCTCF,Wholesale Distributors
1227,ORA,Electric Utilities
1228,MOND,Other Consumer Services
1229,JPM,Major Banks
1230,IMO,Integrated Oil
1231,ZION,Major Banks
1232,BBWI,Apparel/Footwear Retail
1233,BEP,Electric Utilities
1234,OGE,Electric Utilities
1235,INT,Wholesale Distributors
1236,ASX,Semiconductors
1237,CLFD,Telecommunications Equipment
1238,DUK,Electric Utilities
1239,VLGEA,Food Retail
1240,WHF,Investment Managers
1241,CVGW,Food: Specialty/Candy
1242,OTTR,Electric Utilities
1243,FCNCA,Regional Banks
1244,KFRC,Personnel Services
1245,AIZ,Multi-Line Insurance
1246,CATY,Regional Banks
1247,MATW,Miscellaneous Manufacturing
1248,MTN,Hotels/Resorts/Cruise lines
1249,DVA,Medical/Nursing Services
1250,WTS,Industrial Machinery
1251,TSBK,Savings Banks
1252,NXE,Other Metals/Minerals
1253,SFST,Regional Banks
1254,CHT,Major Telecommunications
1255,BA,Aerospace & Defense
1256,MSI,Telecommunications Equipment
1257,SWKS,Semiconductors
1258,AFG,Property/Casualty Insurance
1259,SAM,Beverages: Alcoholic
1260,HSIC,Medical Distributors
1261,ENVA,Finance/Rental/Leasing
1262,VVV,Other Consumer Services
1263,BSM,Investment Trusts/Mutual Funds
1264,SMMF,Regional Banks
1265,XEL,Electric Utilities
1266,RENN,Internet Software/Services
1267,SCSC,Electronics Distributors
1268,DEO,Beverages: Alcoholic
1269,ABEV,Beverages: Alcoholic
1270,EURN,Marine Shipping
1271,URBN,Apparel/Footwear Retail
1272,PNC,Major Banks
1273,EMR,Electronic Equipment/Instruments
1274,RUSHB,Specialty Stores
1275,CFG,Major Banks
1276,MTW,Trucks/Construction/Farm Machinery
1277,MMI,Real Estate Development
1278,HBT,Regional Banks
1279,OSS,Computer Processing Hardware
1280,SJR,Major Telecommunications
1281,FUL,Industrial Specialties
1282,MCY,Property/Casualty Insurance
1283,DAR,Food: Specialty/Candy
1284,HLF,Medical Distributors
1285,LWAY,Food: Meat/Fish/Dairy
1286,SR,Gas Distributors
1287,BKNG,Other Consumer Services
1288,MOV,Other Consumer Specialties
1289,CARR,Industrial Machinery
1290,PINS,Internet Software/Services
1291,KAR,Miscellaneous Commercial Services
1292,CLF,Steel
1293,CMA,Major Banks
1294,ASH,Food: Specialty/Candy
1295,PRK,Major Banks
1296,FNKO,Recreational Products
1297,LUV,Airlines
1298,CRL,Miscellaneous Commercial Services
1299,HVT.A,Specialty Stores
1300,HVT,Specialty Stores
1301,ED,Electric Utilities
1302,LNT,Electric Utilities
1303,SMG,Chemicals: Agricultural
1304,SCPL,Packaged Software
1305,VMC,Construction Materials
1306,TER,Electronic Production Equipment
1307,MODV,Other Transportation
1308,PFLT,Investment Managers
1309,BKH,Electric Utilities
1310,TTE,Integrated Oil
1311,ABB,Electrical Products
1312,PLPC,Building Products
1313,BMY,Pharmaceuticals: Major
1314,NFG,Integrated Oil
1315,NATH,Restaurants
1316,HPQ,Computer Processing Hardware
1317,NIO,Motor Vehicles
1318,DIN,Restaurants
1319,AVTR,Chemicals: Specialty
1320,QCRH,Major Banks
1321,WMB,Integrated Oil
1322,INGR,Food: Specialty/Candy
1323,BDC,Electrical Products
1324,TH,Hotels/Resorts/Cruise lines
1325,EVBG,Packaged Software
1326,GAIN,Investment Managers
1327,SBSW,Precious Metals
1328,HWC,Regional Banks
1329,TCI,Real Estate Investment Trusts
1330,RCMT,Personnel Services
1331,BMRN,Biotechnology
1332,CWEN.A,Alternative Power Generation
1333,TOWN,Regional Banks
1334,FRPH,Real Estate Development
1335,CVS,Drugstore Chains
1336,FSS,Trucks/Construction/Farm Machinery
1337,BK,Investment Banks/Brokers
1338,AMRC,Engineering & Construction
1339,D,Electric Utilities
1340,TEVA,Pharmaceuticals: Generic
1341,WASH,Regional Banks
1342,SAP,Packaged Software
1343,AA,Aluminum
1344,ADT,Miscellaneous Commercial Services
1345,EQT,Oil & Gas Production
1346,PBH,Pharmaceuticals: Major
1347,CFFN,Savings Banks
1348,NWFL,Regional Banks
1349,GFF,Building Products
1350,UCTT,Industrial Machinery
1351,CAG,Food: Specialty/Candy
1352,DDS,Department Stores
1353,MGM,Casinos/Gaming
1354,ROG,Chemicals: Specialty
1355,BCML,Regional Banks
1356,GIB,Miscellaneous Commercial Services
1357,CPA,Airlines
1358,CALX,Telecommunications Equipment
1359,HRMY,Pharmaceuticals: Major
1360,ALGT,Airlines
1361,CIVB,Regional Banks
1362,WEYS,Apparel/Footwear
1363,AIRT,Air Freight/Couriers
1364,MGPI,Agricultural Commodities/Milling
1365,FITB,Regional Banks
1366,ZD,Internet Software/Services
1367,FFBC,Regional Banks
1368,XRAY,Medical Specialties
1369,VBTX,Regional Banks
1370,CALB,Regional Banks
1371,NEWR,Packaged Software
1372,BRC,Miscellaneous Manufacturing
1373,GKOS,Medical Specialties
1374,NBHC,Regional Banks
1375,PNR,Industrial Machinery
1376,EPAC,Industrial Machinery
1377,FLIC,Major Banks
1378,WWW,Apparel/Footwear
1379,MYE,Miscellaneous Manufacturing
1380,MMM,Industrial Conglomerates
1381,GOLD,Precious Metals
1382,SEM,Hospital/Nursing Management
1383,WABC,Regional Banks
1384,GABC,Regional Banks
1385,PAA,Oil & Gas Pipelines
1386,LARK,Major Banks
1387,KE,Electronic Production Equipment
1388,CVCY,Regional Banks
1389,CM,Major Banks
1390,VLY,Major Banks
1391,WTFC,Regional Banks
1392,AEP,Electric Utilities
1393,TNL,Hotels/Resorts/Cruise lines
1394,KRNT,Industrial Machinery
1395,PPL,Electric Utilities
1396,FHN,Regional Banks
1397,TKR,Metal Fabrication
1398,GEF,Containers/Packaging
1399,EAT,Restaurants
1400,NBIX,Pharmaceuticals: Major
1401,TAK,Pharmaceuticals: Major
1402,ERF,Integrated Oil
1403,LDOS,Aerospace & Defense
1404,TGH,Finance/Rental/Leasing
1405,MSM,Wholesale Distributors
1406,NEU,Chemicals: Specialty
1407,CTS,Electronic Production Equipment
1408,DXPE,Wholesale Distributors
1409,CG,Investment Managers
1410,FHI,Investment Managers
1411,SIX,Movies/Entertainment
1412,BLBD,Motor Vehicles
1413,CAAP,Other Transportation
1414,RICK,Restaurants
1415,AROW,Major Banks
1416,BPT,Investment Trusts/Mutual Funds
1417,DCOM,Regional Banks
1418,CWCO,Water Utilities
1419,SJM,Food: Specialty/Candy
1420,FLEX,Electronic Production Equipment
1421,FWONA,Movies/Entertainment
1422,PFG,Investment Managers
1423,HRZN,Investment Trusts/Mutual Funds
1424,TG,Aluminum
1425,OPRX,Packaged Software
1426,RVNC,Pharmaceuticals: Major
1427,YY,Data Processing Services
1428,CAKE,Restaurants
1429,STBA,Regional Banks
1430,RDY,Pharmaceuticals: Major
1431,NNI,Finance/Rental/Leasing
1432,FIX,Engineering & Construction
1433,RNST,Regional Banks
1434,BECN,Wholesale Distributors
1435,SLM,Finance/Rental/Leasing
1436,G,Miscellaneous Commercial Services
1437,TRST,Savings Banks
1438,W,Specialty Stores
1439,MSVB,Savings Banks
1440,OCSL,Investment Managers
1441,NBTB,Major Banks
1442,PLCE,Apparel/Footwear Retail
1443,SJT,Investment Trusts/Mutual Funds
1444,T,Major Telecommunications
1445,VOYA,Life/Health Insurance
1446,HE,Electric Utilities
1447,PRG,Finance/Rental/Leasing
1448,SPFI,Regional Banks
1449,CMTL,Telecommunications Equipment
1450,GEO,Real Estate Investment Trusts
1451,UTL,Electric Utilities
1452,BAX,Medical Specialties
1453,PVH,Apparel/Footwear
1454,AEIS,Electronic Production Equipment
1455,WM,Environmental Services
1456,QSR,Restaurants
1457,IDA,Electric Utilities
1458,CMP,Chemicals: Specialty
1459,SON,Containers/Packaging
1460,BG,Agricultural Commodities/Milling
1461,B,Industrial Machinery
1462,SILK,Medical Specialties
1463,PDCO,Medical Distributors
1464,PXD,Oil & Gas Production
1465,AQN,Electric Utilities
1466,OMCL,Information Technology Services
1467,SPTN,Food Distributors
1468,FBIZ,Regional Banks
1469,HES,Integrated Oil
1470,CVI,Oil Refining/Marketing
1471,EXAS,Medical Specialties
1472,EIG,Property/Casualty Insurance
1473,EVO,Pharmaceuticals: Major
1474,AMG,Investment Managers
1475,BLKB,Packaged Software
1476,MATX,Marine Shipping
1477,KRP,Investment Trusts/Mutual Funds
1478,HP,Contract Drilling
1479,WOR,Steel
1480,JACK,Restaurants
1481,GWRS,Water Utilities
1482,PSEC,Investment Managers
1483,DISA,Financial Conglomerates
1484,CLOE,Financial Conglomerates
1485,CPB,Food: Major Diversified
1486,XENE,Pharmaceuticals: Major
1487,SNFCA,Finance/Rental/Leasing
1488,PSTG,Computer Peripherals
1489,GWRE,Information Technology Services
1490,UMBF,Major Banks
1491,PRGS,Packaged Software
1492,TPVG,Investment Managers
1493,WTW,Insurance Brokers/Services
1494,SIG,Specialty Stores
1495,HOPE,Major Banks
1496,BKSC,Regional Banks
1497,WBS,Savings Banks
1498,PKI,Medical Specialties
1499,TAL,Miscellaneous Commercial Services
1500,EFSC,Regional Banks
1501,BBD,Major Banks
1502,TXT,Aerospace & Defense
1503,CADE,Major Banks
1504,TRS,Miscellaneous Manufacturing
1505,CLB,Oilfield Services/Equipment
1506,NVST,Medical Specialties
1507,PEBK,Regional Banks
1508,CSGS,Data Processing Services
1509,PEBO,Regional Banks
1510,SILC,Telecommunications Equipment
1511,RWAY,Finance/Rental/Leasing
1512,SWK,Tools & Hardware
1513,SFNC,Major Banks
1514,CUBI,Regional Banks
1515,EIX,Electric Utilities
1516,COLB,Regional Banks
1517,AVAV,Aerospace & Defense
1518,BFAM,Miscellaneous Commercial Services
1519,KOF,Beverages: Non-Alcoholic
1520,BATRA,Movies/Entertainment
1521,RBCAA,Regional Banks
1522,RELX,Miscellaneous Commercial Services
1523,CNP,Electric Utilities
1524,AVA,Electric Utilities
1525,OVLY,Regional Banks
1526,NTIC,Industrial Specialties
1527,NRT,Investment Trusts/Mutual Funds
1528,WPP,Advertising/Marketing Services
1529,MPLX,Oil & Gas Pipelines
1530,IPG,Advertising/Marketing Services
1531,CEVA,Semiconductors
1532,AFRI,Agricultural Commodities/Milling
1533,FFIC,Regional Banks
1534,PRA,Property/Casualty Insurance
1535,JD,Internet Retail
1536,NTR,Chemicals: Agricultural
1537,PBHC,Regional Banks
1538,K,Food: Specialty/Candy
1539,CMS,Electric Utilities
1540,IART,Medical Specialties
1541,CNXN,Information Technology Services
1542,ES,Electric Utilities
1543,ENOV,Industrial Machinery
1544,PARR,Oil Refining/Marketing
1545,ATSG,Airlines
1546,SM,Oil & Gas Production
1547,AEL,Life/Health Insurance
1548,CSIQ,Semiconductors
1549,TITN,Wholesale Distributors
1550,MFC,Multi-Line Insurance
1551,FMAO,Regional Banks
1552,RFIL,Electrical Products
1553,UNB,Regional Banks
1554,VFC,Apparel/Footwear
1555,OLN,Industrial Specialties
1556,TEX,Trucks/Construction/Farm Machinery
1557,ASTE,Trucks/Construction/Farm Machinery
1558,CNOB,Regional Banks
1559,WDS,Oil & Gas Production
1560,SP,Miscellaneous Commercial Services
1561,OFED,Savings Banks
1562,RGEN,Pharmaceuticals: Major
1563,SSB,Regional Banks
1564,BMRC,Regional Banks
1565,GSK,Pharmaceuticals: Major
1566,OC,Containers/Packaging
1567,VIAV,Electronic Equipment/Instruments
1568,HTBI,Regional Banks
1569,HAS,Recreational Products
1570,MEOH,Chemicals: Specialty
1571,NPK,Aerospace & Defense
1572,FGH,Electronics/Appliances
1573,FTI,Oilfield Services/Equipment
1574,WAFD,Major Banks
1575,DAKT,Miscellaneous Manufacturing
1576,PBA,Oil & Gas Pipelines
1577,NMG,Other Metals/Minerals
1578,STAA,Medical Specialties
1579,TNC,Industrial Machinery
1580,NBN,Regional Banks
1581,MARPS,Investment Trusts/Mutual Funds
1582,DD,Chemicals: Major Diversified
1583,QFIN,Finance/Rental/Leasing
1584,CVV,Electronic Production Equipment
1585,Z,Real Estate Development
1586,IBKR,Investment Banks/Brokers
1587,SOHU,Internet Software/Services
1588,COFS,Regional Banks
1589,KSS,Department Stores
1590,BRY,Oil & Gas Production
1591,METC,Coal
1592,VOD,Wireless Telecommunications
1593,KAI,Industrial Machinery
1594,PRU,Life/Health Insurance
1595,NWE,Electric Utilities
1596,PBR,Integrated Oil
1597,BSAC,Regional Banks
1598,FLS,Industrial Machinery
1599,OSIS,Aerospace & Defense
1600,BLDR,Home Improvement Chains
1601,AUB,Regional Banks
1602,TR,Food: Specialty/Candy
1603,CCNE,Regional Banks
1604,TRMK,Regional Banks
1605,DGICB,Multi-Line Insurance
1606,HCCI,Environmental Services
1607,PAM,Electric Utilities
1608,PLBC,Regional Banks
1609,JBSS,Food: Specialty/Candy
1610,MBWM,Regional Banks
1611,BWB,Regional Banks
1612,DTM,Oil & Gas Pipelines
1613,SXT,Food: Specialty/Candy
1614,JKS,Semiconductors
1615,TRN,Trucks/Construction/Farm Machinery
1616,CFFI,Regional Banks
1617,DVN,Oil & Gas Production
1618,EXPE,Other Consumer Services
1619,MUR,Oil & Gas Production
1620,SPH,Wholesale Distributors
1621,BBDC,Investment Managers
1622,JMSB,Regional Banks
1623,TCBI,Major Banks
1624,AE,Wholesale Distributors
1625,BAC,Major Banks
1626,SNN,Medical Specialties
1627,KEX,Marine Shipping
1628,MHK,Forest Products
1629,NUVA,Medical Specialties
1630,SMBK,Regional Banks
1631,ASB,Major Banks
1632,APOG,Building Products
1633,SSL,Chemicals: Major Diversified
1634,PKBK,Regional Banks
1635,PWOD,Regional Banks
1636,BATRK,Movies/Entertainment
1637,FSRXU,Financial Conglomerates
1638,CAE,Miscellaneous Commercial Services
1639,SCI,Other Consumer Services
1640,PIPR,Investment Banks/Brokers
1641,AGM.A,Finance/Rental/Leasing
1642,RRC,Oil & Gas Production
1643,AGO,Specialty Insurance
1644,STRA,Other Consumer Services
1645,UFCS,Property/Casualty Insurance
1646,OXY,Oil & Gas Production
1647,WLYB,Publishing: Books/Magazines
1648,ARHS,Home Furnishings
1649,IFF,Food: Specialty/Candy
1650,CENT,Consumer Sundries
1651,E,Integrated Oil
1652,AWI,Miscellaneous Manufacturing
1653,GVA,Engineering & Construction
1654,CHCO,Major Banks
1655,CATO,Apparel/Footwear Retail
1656,CLBK,Savings Banks
1657,CAC,Regional Banks
1658,VZ,Major Telecommunications
1659,NOVT,Electronic Equipment/Instruments
1660,ALE,Electric Utilities
1661,PD,Packaged Software
1662,FULT,Major Banks
1663,THG,Property/Casualty Insurance
1664,DHIL,Financial Conglomerates
1665,ZTEK,Other Metals/Minerals
1666,L,Property/Casualty Insurance
1667,BDL,Restaurants
1668,MSGS,Movies/Entertainment
1669,CRUS,Semiconductors
1670,HNRG,Coal
1671,SAL,Regional Banks
1672,IIIN,Metal Fabrication
1673,MCS,Movies/Entertainment
1674,PFIS,Regional Banks
1675,HEP,Oil & Gas Pipelines
1676,HCSG,Miscellaneous Commercial Services
1677,DAWN,Pharmaceuticals: Major
1678,DOX,Information Technology Services
1679,SSBI,Regional Banks
1680,HTLF,Regional Banks
1681,CRAI,Miscellaneous Commercial Services
1682,BP,Integrated Oil
1683,EVOP,Miscellaneous Commercial Services
1684,THFF,Major Banks
1685,BGS,Food: Major Diversified
1686,ALV,Auto Parts: OEM
1687,WILC,Food Distributors
1688,COGT,Biotechnology
1689,EML,Tools & Hardware
1690,AUBN,Regional Banks
1691,HIMX,Semiconductors
1692,ERII,Industrial Machinery
1693,KMPR,Property/Casualty Insurance
1694,FORTY,Information Technology Services
1695,WGO,Recreational Products
1696,OPY,Investment Banks/Brokers
1697,CODA,Aerospace & Defense
1698,VST,Electric Utilities
1699,KOSS,Electronics/Appliances
1700,MDLZ,Food: Specialty/Candy
1701,MDC,Homebuilding
1702,UVV,Tobacco
1703,TARO,Pharmaceuticals: Major
1704,BRKL,Savings Banks
1705,EMN,Chemicals: Major Diversified
1706,ATRC,Medical Specialties
1707,NWN,Gas Distributors
1708,AVXL,Biotechnology
1709,VSAT,Telecommunications Equipment
1710,GHM,Industrial Machinery
1711,MVO,Investment Trusts/Mutual Funds
1712,ESP,Electronic Components
1713,FNB,Major Banks
1714,FDX,Air Freight/Couriers
1715,HBAN,Major Banks
1716,BELFA,Electronic Components
1717,BC,Auto Parts: OEM
1718,SBNY,Regional Banks
1719,PRFT,Personnel Services
1720,UNM,Multi-Line Insurance
1721,HFWA,Regional Banks
1722,CABO,Cable/Satellite TV
1723,WHR,Electronics/Appliances
1724,ELP,Electric Utilities
1725,ACM,Engineering & Construction
1726,OCFC,Savings Banks
1727,AEE,Electric Utilities
1728,AIN,Textiles
1729,OFS,Investment Managers
1730,PPC,Agricultural Commodities/Milling
1731,HOLI,Electrical Products
1732,OPBK,Regional Banks
1733,MCBS,Regional Banks
1734,ABST,Packaged Software
1735,ARW,Electronics Distributors
1736,CHS,Apparel/Footwear Retail
1737,GRC,Industrial Machinery
1738,TSN,Food: Meat/Fish/Dairy
1739,CEIX,Coal
1740,LAKE,Apparel/Footwear
1741,FOXA,Broadcasting
1742,OEC,Chemicals: Specialty
1743,SRCE,Regional Banks
1744,MGIC,Packaged Software
